Song,Artist
"I DID IT (feat. Post Malone, Megan Thee Stallion, Lil Baby & DaBaby)",DJ Khaled
Body,"Russ Millions, Tion Wayne"
everything i wanted,Billie Eilish
What You Need,Don Toliver
"L-Gante: Bzrp Music Sessions, Vol.38","Bizarrap, L-Gante"
HOLIDAY,Lil Nas X
At My Worst,Pink Sweat$
Life Is Good (feat. Drake),Future
Extasy,"187 Strassenbande, Bonez MC, Frauenarzt"
Wishing Well,Juice WRLD
Fan de Tus Fotos,"Nicky Jam, Romeo Santos"
Tapão Na Raba,Raí Saia Rodada
Machu Picchu,"Camilo, Evaluna Montaner"
Come & Go (with Marshmello),Juice WRLD
Robbery,Juice WRLD
Paradigmas,Jorge & Mateus
SugarCrash!,ElyOtto
durag activity (with Travis Scott),Baby Keem
love race (feat. Kellin Quinn),Machine Gun Kelly
POPSTAR (feat. Drake),DJ Khaled
LET IT GO (feat. Justin Bieber & 21 Savage),DJ Khaled
Girl From Rio,Anitta
On The Ground,ROSÉ
Mr. Perfectly Fine (Taylor’s Version) (From The Vault),Taylor Swift
when the party's over,Billie Eilish
Otra Noche Sin Ti,"J Balvin, Khalid"
Met Him Last Night (feat. Ariana Grande),Demi Lovato
Back In Blood (feat. Lil Durk),Pooh Shiesty
Run It Up (feat. Offset & Moneybagg Yo),Lil Tjay
Mi Niña,"Wisin, Myke Towers, Los Legendarios"
As I Am (feat. Khalid),Justin Bieber
Come Through (feat. Chris Brown),H.E.R.
Goosebumps,HVME
Put Your Records On,Ritt Momney
Facas - Ao Vivo,"Diego & Victor Hugo, Bruno & Marrone"
Train Wreck,James Arthur
Monster (Shawn Mendes & Justin Bieber),Shawn Mendes
In Your Eyes,The Weeknd
SAD!,XXXTENTACION
Good Without,Mimi Webb
hot girl bummer,blackbear
When I Was Your Man,Bruno Mars
LOCATION,"KAROL G, Anuel AA, J Balvin"
Stressed Out,Twenty One Pilots
Ski,"Young Stoner Life, Young Thug, Gunna"
Diamonds Dancing (feat. Travis Scott),"Young Stoner Life, Young Thug, Gunna"
Love Story (Taylor’s Version),Taylor Swift
"Ele É Ele, Eu Sou Eu","Wesley Safadão, Os Barões Da Pisadinha"
Quero Ver é Me Esquecer (feat. Jorge) - Ao Vivo,Os Barões Da Pisadinha
willow,Taylor Swift
Why'd You Only Call Me When You're High?,Arctic Monkeys
Afterglow,Ed Sheeran
LA CANCIÓN,"J Balvin, Bad Bunny"
You Belong With Me (Taylor’s Version),Taylor Swift
Fearless (Taylor’s Version),Taylor Swift
X Gon' Give It To Ya,DMX
Fifteen (Taylor’s Version),Taylor Swift
The Way I Loved You (Taylor’s Version),Taylor Swift
You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),Taylor Swift
Hey Stephen (Taylor’s Version),Taylor Swift
White Horse (Taylor’s Version),Taylor Swift
Forever & Always (Taylor’s Version),Taylor Swift
Breathe (feat. Colbie Caillat) (Taylor’s Version),Taylor Swift
Ruff Ryders' Anthem,DMX
That’s When (feat. Keith Urban) (Taylor’s Version) (From The Vault),Taylor Swift
Tell Me Why (Taylor’s Version),Taylor Swift
You’re Not Sorry (Taylor’s Version),Taylor Swift
Chica Ideal,"Sebastian Yatra, Guaynaa"
Relación - Remix,"Sech, Daddy Yankee, J Balvin, ROSALÍA, Farruko"
Don’t You (Taylor’s Version) (From The Vault),Taylor Swift
We Were Happy (Taylor’s Version) (From The Vault),Taylor Swift
WACHA,"KHEA, Duki"
Dancing With The Devil,Demi Lovato
Gone,ROSÉ
What Other People Say,"Sam Fischer, Demi Lovato"
Hello (feat. A Boogie Wit da Hoodie),Pop Smoke
Hasta Abajo,"Kevin Roldan, Bryant Myers, Lyanno"
Take You Dancing,Jason Derulo
Unstable (feat. The Kid LAROI),Justin Bieber
Stuck with U (with Justin Bieber),Ariana Grande
Hayloft,Mother Mother
Esquema Preferido (feat. Tarcísio do Acordeon),DJ Ivis
Además de Mí - Remix,"Rusherking, KHEA, Duki, Maria Becerra, LIT killah, Tiago PZK"
Payphone,"Maroon 5, Wiz Khalifa"
Ghost,Justin Bieber
Off My Face,Justin Bieber
"Whats Poppin (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix] - Bonus Track",Jack Harlow
Take on Me,a-ha
BEBÉ,"Camilo, El Alfa"
Richer (feat. Polo G),Rod Wave
Tu Veneno,J Balvin
Deserve You,Justin Bieber
2 Much,Justin Bieber
Tusa,"KAROL G, Nicki Minaj"
Una Locura,"Ozuna, J Balvin, Chencho Corleone"
Loved By You (feat. Burna Boy),Justin Bieber
Girls Like Us,Zoe Wees
Lemon Pepper Freestyle (feat. Rick Ross),Drake
Esquema Preferido,"DJ Ivis, Tarcísio do Acordeon"
Love Not War (The Tampa Beat),"Jason Derulo, Nuka"
Die For You (feat. Dominic Fike),Justin Bieber
Starboy,"The Weeknd, Daft Punk"
La Tóxica,Farruko
Coração Na Cama - Ao Vivo,Hugo & Guilherme
Love You Different (feat. BEAM),Justin Bieber
Somebody,Justin Bieber
White Dress,Lana Del Rey
Polvo,"Nicky Jam, Myke Towers"
Chemtrails Over The Country Club,Lana Del Rey
Parce (feat. Justin Quiles),"Maluma, Lenny Tavárez"
Ropa Cara,Camilo
Vida de Rico,Camilo
Devil Eyes,Hippie Sabotage
Ponte Pa' Mi,Justin Quiles
